PM2.5	PM10	NO	NO2	NOx	NH3	CO	SO2	O3	Benzene	Toluene	Xylene	AQI	AQI_Bucket
54.01	128.66	6.33	21.05	16.81	29.06	0.97	11.15	29.73	2.03	23.57	0.65	101	Moderate
39.8	91.98	5.99	17.96	15.44	28.48	0.84	10.51	37.29	1.57	16.37	0.49	114	Moderate
44.86	184.12	10.5	21.57	21.94	27.97	0.88	11.58	26.61	2.13	23.8	1.13	233	Poor
59.52	308.65	12.67	21.6	23.86	29.27	0.94	10.7	18.05	1.71	25.13	1.74	196	Moderate
39.8	155.94	10.88	21.46	22.47	31.43	0.87	10.38	18.88	1.69	19.99	0.43	112	Moderate
50.01	112.08	9.67	22.06	21.75	32.64	1.01	11.66	24.82	2.07	23.31	0.7	104	Moderate
38.37	77.76	9.33	21.41	21.17	30.48	1.02	11.28	25.92	1.59	19.18	0.49	86	Satisfactory
30.91	62.61	6.63	16.84	15.72	31.45	0.89	11.02	24.77	1.28	12.13	0.27	71	Satisfactory
29.02	64.12	6.22	16.39	15.33	33.32	0.88	11.09	28.64	1.25	12.99	0.33	85	Satisfactory
39.47	77.48	5.67	20.61	17.46	34.32	0.91	11.08	42.76	1.54	18.47	0.37	104	Moderate
39.7	95.63	7.21	23.7	19.89	28.84	0.85	11.71	33.92	1.51	17.57	0.63	105	Moderate
35.96	108.73	6.53	20.37	17.92	26.38	0.8	10.98	36.24	1.42	14.47	0.2	158	Moderate
57.6	205.56	6.58	17.78	15.57	27.96	0.86	11.98	40.95	1.69	14.04	0.27	132	Moderate
36.84	100.62	6.02	18.32	15.69	28.68	0.82	12.19	47.98	1.5	12.01	0.22	107	Moderate
34.35	92.58	5.47	16.94	14.73	29.4	0.78	10.84	48.72	1.55	14.6	0.19	110	Moderate
39.87	107.99	7.35	24.58	19.98	32.62	0.88	12.08	51.4	1.99	19.29	0.51	126	Moderate
48.69	120.23	7.8	25.95	21.79	35.38	0.88	12.57	48.39	1.9	16.58	0.73	130	Moderate
71.08	150.28	8.19	26.01	22.01	40	1.04	13.57	38.86	2.42	23.32	1.71	147	Moderate
52.36	129.33	8.9	25.46	22.93	36.62	0.95	10.59	34.95	2.09	17.4	0.53	132	Moderate
